               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.021636,           0.0091549,                   0,             0.95343,             0.97487,             0.98924,              0.7756,            0.010795,           0.0026231,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.022001,            0.009327,                   0,             0.95334,             0.97619,             0.97687,             0.75986,              0.0103,           0.0024494,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.019352,           0.0086577,                   0,             0.95346,             0.97563,              0.9848,             0.73088,            0.012255,           0.0024249,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.019479,           0.0092852,                   0,             0.95296,             0.97619,              0.9743,             0.74072,            0.011503,           0.0026072,                   0,            0.004522,            0.004522,            0.004522
                  85,             0.02121,            0.009206,                   0,             0.95266,             0.97619,             0.97552,             0.72304,            0.011894,           0.0025111,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.021209,           0.0085782,                   0,              0.9512,             0.97619,             0.98238,             0.73492,            0.011251,            0.002411,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.020554,           0.0082356,                   0,             0.95026,             0.95238,             0.97761,              0.7283,            0.011624,           0.0026656,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.019109,           0.0087148,                   0,             0.95119,             0.95238,             0.98332,             0.77187,            0.011988,           0.0026445,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.022664,            0.009059,                   0,             0.95212,             0.97619,             0.97175,             0.75873,             0.01199,            0.002644,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.024389,           0.0094972,                   0,             0.95343,             0.97619,             0.97062,             0.74933,            0.011961,           0.0024717,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.018852,           0.0084608,                   0,             0.95339,             0.97415,             0.97808,             0.73197,            0.012799,           0.0025868,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.017831,           0.0087786,                   0,             0.95087,             0.95238,             0.96837,             0.74019,            0.012861,           0.0025684,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.016905,           0.0082293,                   0,             0.95082,             0.95238,             0.98217,               0.768,            0.011443,           0.0024828,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.017778,           0.0083959,                   0,              0.9505,             0.95238,             0.97723,              0.7481,            0.011601,            0.002537,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.018973,            0.008736,                   0,             0.95072,             0.95238,             0.96739,             0.74326,            0.011888,           0.0025876,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.020577,           0.0089573,                   0,             0.95087,             0.95238,             0.98403,             0.75963,            0.012073,           0.0024244,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.017978,           0.0087466,                   0,             0.95048,             0.95238,             0.97273,             0.74728,            0.011547,           0.0025336,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.018259,           0.0087515,                   0,             0.95065,             0.95238,             0.98446,             0.76045,             0.01028,           0.0026209,                   0,            0.003598,            0.003598,            0.003598
